Date,Weekday,Status,EMDI,RDI,BINS,Comment
2014-01-01,Wed,Holiday,Not available,Available,Not available,
2014-01-02,Thu,Normal trading day,Available,Available,Available,
2014-01-03,Fri,Normal trading day,Available,Available,Available,
2014-01-04,Sat,No trading day,Not available,Not available,Not available,
2014-01-05,Sun,No trading day,Not available,Not available,Not available,
2014-01-06,Mon,Normal trading day,Available,Available,Available,
2014-01-07,Tue,Normal trading day,Available,Available,Available,
2014-01-08,Wed,Normal trading day,Available,Available,Available,
2014-01-09,Thu,Normal trading day,Available,Available,Available,
2014-01-10,Fri,Normal trading day,Available,Available,Available,
2014-01-11,Sat,No trading day,Not available,Not available,Not available,
2014-01-12,Sun,No trading day,Not available,Not available,Not available,
2014-01-13,Mon,Normal trading day,Available,Available,Available,
2014-01-14,Tue,Normal trading day,Available,Available,Available,
2014-01-15,Wed,Normal trading day,Available,Available,Available,
2014-01-16,Thu,Normal trading day,Available,Available,Available,
2014-01-17,Fri,Normal trading day,Available,Available,Available,
2014-01-18,Sat,No trading day,Not available,Not available,Not available,
2014-01-19,Sun,No trading day,Not available,Not available,Not available,
2014-01-20,Mon,Normal trading day,Available,Available,Available,
2014-01-21,Tue,Normal trading day,Available,Available,Available,
2014-01-22,Wed,Normal trading day,Available,Available,Available,
2014-01-23,Thu,Normal trading day,Available,Available,Available,
2014-01-24,Fri,Normal trading day,Available,Available,Available,
2014-01-25,Sat,No trading day,Not available,Not available,Not available,
2014-01-26,Sun,No trading day,Not available,Not available,Not available,
2014-01-27,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-01-28,Tue,Normal trading day,Available,Available,Available,
2014-01-29,Wed,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-01-30,Thu,Normal trading day,Available,Available,Available,
2014-01-31,Fri,Normal trading day,Available,Available,Available,
2014-02-01,Sat,No trading day,Not available,Not available,Not available,
2014-02-02,Sun,No trading day,Not available,Not available,Not available,
2014-02-03,Mon,Normal trading day,Available,Available,Available,
2014-02-04,Tue,Normal trading day,Available,Available,Available,
2014-02-05,Wed,Normal trading day,Available,Available,Not available,"Technical Issue, Currently under investigations"
2014-02-06,Thu,Normal trading day,Available,Available,Available,
2014-02-07,Fri,Normal trading day,Available,Available,Available,
2014-02-08,Sat,No trading day,Not available,Not available,Not available,
2014-02-09,Sun,No trading day,Not available,Not available,Not available,
2014-02-10,Mon,Normal trading day,Available,Available,Available,
2014-02-11,Tue,Normal trading day,Available,Available,Available,
2014-02-12,Wed,Normal trading day,Available,Available,Available,
2014-02-13,Thu,Normal trading day,Available,Available,Available,
2014-02-14,Fri,Normal trading day,Available,Available,Available,
2014-02-15,Sat,No trading day,Not available,Not available,Not available,
2014-02-16,Sun,No trading day,Not available,Not available,Not available,
2014-02-17,Mon,Normal trading day,Available,Available,Available,
2014-02-18,Tue,Normal trading day,Available,Available,Available,
2014-02-19,Wed,Normal trading day,Available,Available,Available,
2014-02-20,Thu,Normal trading day,Available,Available,Available,
2014-02-21,Fri,Normal trading day,Available,Available,Available,
2014-02-22,Sat,No trading day,Not available,Not available,Not available,
2014-02-23,Sun,No trading day,Not available,Not available,Not available,
2014-02-24,Mon,Normal trading day,Available,Available,Available,
2014-02-25,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-02-26,Wed,Normal trading day,Available,Available,Available,
2014-02-27,Thu,Normal trading day,Available,Available,Available,
2014-02-28,Fri,Normal trading day,Available,Available,Available,
2014-03-01,Sat,No trading day,Not available,Not available,Not available,
2014-03-02,Sun,No trading day,Not available,Not available,Not available,
2014-03-03,Mon,Normal trading day,Available,Available,Available,
2014-03-04,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-03-05,Wed,Normal trading day,Available,Available,Available,
2014-03-06,Thu,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-03-07,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-03-08,Sat,No trading day,Not available,Not available,Not available,
2014-03-09,Sun,No trading day,Not available,Not available,Not available,
2014-03-10,Mon,Normal trading day,Available,Available,Available,
2014-03-11,Tue,Normal trading day,Available,Available,Available,
2014-03-12,Wed,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-03-13,Thu,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-03-14,Fri,Normal trading day,Available,Available,Available,
2014-03-15,Sat,No trading day,Not available,Not available,Not available,
2014-03-16,Sun,No trading day,Not available,Not available,Not available,
2014-03-17,Mon,Normal trading day,Available,Available,Available,
2014-03-18,Tue,Normal trading day,Available,Available,Available,
2014-03-19,Wed,Normal trading day,Available,Available,Available,
2014-03-20,Thu,Normal trading day,Available,Available,Available,
2014-03-21,Fri,Normal trading day,Available,Available,Available,
2014-03-22,Sat,No trading day,Not available,Not available,Not available,
2014-03-23,Sun,No trading day,Not available,Not available,Not available,
2014-03-24,Mon,Normal trading day,Available,Available,Available,
2014-03-25,Tue,Normal trading day,Available,Available,Available,
2014-03-26,Wed,Normal trading day,Available,Available,Available,
2014-03-27,Thu,Normal trading day,Available,Available,Available,
2014-03-28,Fri,Normal trading day,Available,Available,Available,
2014-03-29,Sat,No trading day,Not available,Not available,Not available,
2014-03-30,Sun,No trading day,Not available,Not available,Not available,
2014-03-31,Mon,Normal trading day,Available,Available,Available,
2014-04-01,Tue,Normal trading day,Available,Available,Available,
2014-04-02,Wed,Normal trading day,Available,Available,Available,
2014-04-03,Thu,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-04-04,Fri,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-04-05,Sat,No trading day,Not available,Not available,Not available,
2014-04-06,Sun,No trading day,Not available,Not available,Not available,
2014-04-07,Mon,Normal trading day,Available,Available,Available,
2014-04-08,Tue,Normal trading day,Available,Available,Available,
2014-04-09,Wed,Normal trading day,Available,Available,Available,
2014-04-10,Thu,Normal trading day,Available,Available,Available,
2014-04-11,Fri,Normal trading day,Available,Available,Available,
2014-04-12,Sat,No trading day,Not available,Not available,Not available,
2014-04-13,Sun,No trading day,Not available,Not available,Not available,
2014-04-14,Mon,Normal trading day,Available,Available,Available,
2014-04-15,Tue,Normal trading day,Available,Available,Available,
2014-04-16,Wed,Normal trading day,Available,Available,Available,
2014-04-17,Thu,Normal trading day,Available,Available,Available,
2014-04-18,Fri,Holiday,Available,Available,Not available,
2014-04-19,Sat,No trading day,Not available,Not available,Not available,
2014-04-20,Sun,No trading day,Not available,Not available,Not available,
2014-04-21,Mon,Holiday,Available,Available,Not available,
2014-04-22,Tue,Normal trading day,Available,Available,Available,
2014-04-23,Wed,Normal trading day,Available,Available,Available,
2014-04-24,Thu,Normal trading day,Available,Available,Available,
2014-04-25,Fri,Normal trading day,Available,Available,Available,
2014-04-26,Sat,No trading day,Not available,Not available,Not available,
2014-04-27,Sun,No trading day,Not available,Not available,Not available,
2014-04-28,Mon,Normal trading day,Available,Available,Available,
2014-04-29,Tue,Normal trading day,Available,Available,Available,
2014-04-30,Wed,Normal trading day,Available,Available,Available,
2014-05-01,Thu,Holiday,Available,Available,Not available,
2014-05-02,Fri,Normal trading day,Available,Available,Available,
2014-05-03,Sat,No trading day,Not available,Not available,Not available,
2014-05-04,Sun,No trading day,Not available,Not available,Not available,
2014-05-05,Mon,Normal trading day,Available,Available,Available,
2014-05-06,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-05-07,Wed,Normal trading day,Available,Available,Available,
2014-05-08,Thu,Normal trading day,Available,Available,Available,
2014-05-09,Fri,Normal trading day,Available,Available,Available,
2014-05-10,Sat,No trading day,Not available,Not available,Not available,
2014-05-11,Sun,No trading day,Not available,Not available,Not available,
2014-05-12,Mon,Normal trading day,Available,Available,Available,
2014-05-13,Tue,Normal trading day,Available,Available,Available,
2014-05-14,Wed,Normal trading day,Available,Available,Available,
2014-05-15,Thu,Normal trading day,Available,Available,Available,
2014-05-16,Fri,Normal trading day,Available,Available,Available,
2014-05-17,Sat,No trading day,Not available,Not available,Not available,
2014-05-18,Sun,No trading day,Not available,Not available,Not available,
2014-05-19,Mon,Normal trading day,Available,Available,Available,
2014-05-20,Tue,Normal trading day,Available,Available,Available,
2014-05-21,Wed,Normal trading day,Available,Available,Available,
2014-05-22,Thu,Normal trading day,Available,Available,Available,
2014-05-23,Fri,Normal trading day,Available,Available,Available,
2014-05-24,Sat,No trading day,Not available,Not available,Not available,
2014-05-25,Sun,No trading day,Not available,Not available,Not available,
2014-05-26,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-05-27,Tue,Normal trading day,Available,Available,Available,
2014-05-28,Wed,Normal trading day,Available,Available,Available,
2014-05-29,Thu,Normal trading day,Available,Available,Available,
2014-05-30,Fri,Normal trading day,Available,Available,Available,
2014-05-31,Sat,No trading day,Not available,Not available,Not available,
2014-06-01,Sun,No trading day,Not available,Not available,Not available,
2014-06-02,Mon,Normal trading day,Available,Available,Available,
2014-06-03,Tue,Normal trading day,Available,Available,Available,
2014-06-04,Wed,Normal trading day,Available,Available,Available,
2014-06-05,Thu,Normal trading day,Available,Available,Available,
2014-06-06,Fri,Normal trading day,Available,Available,Available,
2014-06-07,Sat,No trading day,Not available,Not available,Not available,
2014-06-08,Sun,No trading day,Not available,Not available,Not available,
2014-06-09,Mon,Normal trading day,Available,Available,Available,
2014-06-10,Tue,Normal trading day,Available,Available,Available,
2014-06-11,Wed,Normal trading day,Available,Available,Available,
2014-06-12,Thu,Normal trading day,Available,Available,Available,
2014-06-13,Fri,Normal trading day,Available,Available,Available,
2014-06-14,Sat,No trading day,Not available,Not available,Not available,
2014-06-15,Sun,No trading day,Not available,Not available,Not available,
2014-06-16,Mon,Normal trading day,Available,Available,Available,
2014-06-17,Tue,Normal trading day,Available,Available,Available,
2014-06-18,Wed,Normal trading day,Available,Available,Available,
2014-06-19,Thu,Normal trading day,Available,Available,Available,
2014-06-20,Fri,Normal trading day,Available,Available,Available,
2014-06-21,Sat,No trading day,Not available,Not available,Not available,
