ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000P0VGY01","ODAX","DAX","DE0008469008","EUR","OPT",20171215,7400,"Put",,1,273900,2017-07-28,13:00,1.7,1.7,1.7,1.7,3,2
"DE000C0BLZ70","FRDX","RDX","AT0000634076","USD","FUT",20170915,,,,,2026685,2017-07-28,13:00,1182.5,1182.5,1182.5,1182.5,3,1
"DE000C0BR489","BAY","BAY","DE000BAY0017","EUR","OPT",20170915,120,"Call",,1,2031464,2017-07-28,13:00,0.11,0.11,0.11,0.11,100,2
"DE000C0BS5Y7","CAR","CAR","FR0000120172","EUR","OPT",20170915,21,"Call",,1,2032590,2017-07-28,13:00,0.46,0.46,0.46,0.46,50,2
"DE000C0BSQQ8","DAI","DAI","DE0007100000","EUR","OPT",20170915,52,"Put",,2,2033233,2017-07-28,13:00,0.25,0.25,0.25,0.25,24,1
"DE000C0C3GF8","ODAX","DAX","DE0008469008","EUR","OPT",20170915,12400,"Put",,1,2045234,2017-07-28,13:00,361.5,361.5,361.5,361.5,1,1
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,13:00,135.57,135.58,135.57,135.58,45,14
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,13:00,161.63,161.64,161.62,161.64,1957,97
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,13:00,131.94,131.94,131.94,131.94,406,8
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,13:00,112.045,112.045,112.04,112.045,41,4
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,13:00,160.86,160.86,160.82,160.86,77,29
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,13:00,148.42,148.44,148.42,148.44,241,33
"DE000C0J9NR9","ROG","ROG","CH0012032048","CHF","OPT",20171215,235,"Put",,2,2160432,2017-07-28,13:00,6.25,6.25,6.25,6.25,3,1
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,13:00,12144,12144,12141.5,12143.5,53,39
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,13:00,12144,12144,12143,12144,10,6
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,13:00,136,136,135.9,135.9,757,7
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,13:00,3457,3458,3456,3456,385,36
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,13:00,9000,9001,8999,8999,83,33
"DE000C0JK784","FSTB","SX7P","EU0009658806","EUR","FUT",20170915,,,,,2163078,2017-07-28,13:00,186.7,186.7,186.7,186.7,5,4
"DE000C0JK7H8","FSTM","SXMP","EU0009658640","EUR","FUT",20170915,,,,,2163087,2017-07-28,13:00,273.4,273.4,273.4,273.4,1,1
"DE000C0JK7S5","FSTY","SX8P","EU0009658921","EUR","FUT",20170915,,,,,2163096,2017-07-28,13:00,418.9,418.9,418.9,418.9,40,2
"DE000C0KMAP8","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170816,,,,,2195792,2017-07-28,13:00,14.75,14.75,14.75,14.75,255,3
"DE000C0P23U6","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,292.5,"Put",,1,2262055,2017-07-28,13:00,0.17,0.17,0.17,0.17,1,1
"DE000C0P23X0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,295,"Put",,1,2262057,2017-07-28,13:00,0.23,0.23,0.23,0.23,5,2
