ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,07:00,11.855,11.885,11.85,11.875,3777,6
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-28,07:00,7.726,7.726,7.67,7.67,21136,18
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-28,07:00,14.66,14.66,14.425,14.47,3502,19
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-28,07:00,28.86,28.88,28.855,28.855,991,10
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-28,07:00,4.452,4.452,4.448,4.448,5031,8
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,07:00,34.855,34.87,34.845,34.845,3775,15
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,07:00,79.35,79.35,78.99,79.02,45333,167
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-28,07:00,11.06,11.085,11.06,11.08,11283,15
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-28,07:00,8.385,8.385,8.345,8.346,21764,21
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-28,07:00,32.95,32.955,32.9,32.91,7764,34
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-28,07:00,88.01,88.01,87.43,87.43,1100,20
"DE000XNG8888","O1BC","XING AG NA O.N.","Common stock","EUR",2504862,2017-07-28,07:00,245,245,244.9,244.9,11,4
"DE0003304002","SOW","SOFTWARE AG O.N.","Common stock","EUR",2504872,2017-07-28,07:00,36.67,36.685,36.6,36.64,1355,10
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2017-07-28,07:00,51.54,51.54,51.4,51.4,10473,25
"DE0005103006","ADV","ADVA OPT.NETW.SE  O.N.","Common stock","EUR",2504881,2017-07-28,07:00,6.45,6.529,6.45,6.529,1791,4
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-28,07:00,15.46,15.46,15.41,15.445,150369,108
"DE0005158703","BC8","BECHTLE AG O.N.","Common stock","EUR",2504894,2017-07-28,07:00,61,61,60.95,60.95,356,6
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-28,07:00,78.04,78.04,77.66,77.67,21546,123
"DE0005190037","BMW3","BAY.MOTOREN WERKE  VZO","Common stock","EUR",2504901,2017-07-28,07:00,67.5,67.5,67.42,67.42,690,11
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2017-07-28,07:00,92.3,92.3,92.16,92.16,2133,21
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2017-07-28,07:00,45.29,45.29,45.29,45.29,2,1
"DE0005419105","COK","CANCOM SE O.N.","Common stock","EUR",2504930,2017-07-28,07:00,53.92,53.92,53.92,53.92,50,4
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-28,07:00,194.7,194.7,194.45,194.45,632,13
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.","Common stock","EUR",2504953,2017-07-28,07:00,32.545,32.545,32.4,32.465,39542,101
"DE0005557508","DTE","DT.TELEKOM AG NA","Common stock","EUR",2504954,2017-07-28,07:00,15.565,15.57,15.52,15.545,35044,29
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.","Common stock","EUR",2504973,2017-07-28,07:00,72.83,72.84,72.65,72.66,3934,44
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.","Common stock","EUR",2504974,2017-07-28,07:00,80.52,80.6,80.52,80.57,559,6
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2017-07-28,07:00,88.56,88.56,88.26,88.26,2160,31
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.","Common stock","EUR",2505002,2017-07-28,07:00,84.26,84.26,84.22,84.25,584,8
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.","Common stock","EUR",2505003,2017-07-28,07:00,106.1,106.1,106.1,106.1,52,1
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2017-07-28,07:00,119.65,119.65,119.45,119.45,1246,12
"DE0006483001","LIN","LINDE AG O.N.","Common stock","EUR",2505043,2017-07-28,07:00,165.65,165.8,165.25,165.8,3635,28
"DE0006599905","MRK","MERCK KGAA O.N.","Common stock","EUR",2505050,2017-07-28,07:00,93.69,93.85,93.69,93.85,656,7
"DE0007037129","RWE","RWE AG ST O.N.","Common stock","EUR",2505072,2017-07-28,07:00,17.785,17.785,17.7,17.705,13178,25
"DE0007100000","DAI","DAIMLER AG NA O.N.","Common stock","EUR",2505076,2017-07-28,07:00,59.84,59.84,59.53,59.53,47845,128
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.","Common stock","EUR",2505079,2017-07-28,07:00,81.33,81.61,81.33,81.46,349,10
"DE0007236101","SIE","SIEMENS AG NA","Common stock","EUR",2505088,2017-07-28,07:00,115.1,115.2,115,115.2,45333,150
"DE0007472060","WDI","WIRECARD AG","Common stock","EUR",2505101,2017-07-28,07:00,64.5,64.58,64.47,64.58,1056,7
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.","Common stock","EUR",2505113,2017-07-28,07:00,135,135.65,135,135.3,868,17
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.","Common stock","EUR",2505114,2017-07-28,07:00,132.85,132.9,132.5,132.6,13723,85
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2017-07-28,07:00,18.66,18.67,18.635,18.67,22674,38
"DE0008404005","ALV","ALLIANZ SE NA O.N.","Common stock","EUR",2505133,2017-07-28,07:00,181.05,181.05,180.55,180.6,8636,63
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.","Common stock","EUR",2505134,2017-07-28,07:00,180.3,180.3,180,180,638,10
"GB0059822006","DLG","DIALOG SEMICOND.   LS-,10","Common stock","EUR",2505387,2017-07-28,07:00,36.68,36.69,36.53,36.545,4745,29
"NL0012169213","QIA","QIAGEN NV         EO -,01","Common stock","EUR",2506272,2017-07-28,07:00,29.145,29.145,29.145,29.145,50,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,07:01,11.855,11.855,11.855,11.855,590,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-28,07:01,7.671,7.675,7.671,7.675,2727,2
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-28,07:01,14.45,14.45,14.45,14.45,230,2
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-28,07:01,28.87,28.88,28.83,28.83,2104,3
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,07:01,34.855,34.86,34.805,34.83,5010,18
"DE000A111338","AM3D","SLM SOLUTIONS GRP AG","Common stock","EUR",2504550,2017-07-28,07:01,37.365,37.525,37.175,37.175,713,11
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,07:01,79.02,79.16,79,79.11,7386,32
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-28,07:01,11.07,11.085,11.07,11.085,11035,16
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-28,07:01,8.358,8.358,8.347,8.349,8042,6
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-28,07:01,87.59,87.71,87.58,87.59,324,6
"DE0003304002","SOW","SOFTWARE AG O.N.","Common stock","EUR",2504872,2017-07-28,07:01,36.55,36.55,36.55,36.55,79,2
"DE0005103006","ADV","ADVA OPT.NETW.SE  O.N.","Common stock","EUR",2504881,2017-07-28,07:01,6.514,6.523,6.514,6.523,478,3
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-28,07:01,15.43,15.48,15.43,15.455,68536,78
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-28,07:01,77.75,77.78,77.71,77.78,2469,13
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2017-07-28,07:01,92.16,92.16,92.16,92.16,58,1
"DE0005313704","AFX","CARL ZEISS MEDITEC AG","Common stock","EUR",2504922,2017-07-28,07:01,45.28,45.28,45.25,45.275,980,4
"DE0005419105","COK","CANCOM SE O.N.","Common stock","EUR",2504930,2017-07-28,07:01,53.92,53.92,53.77,53.86,155,7
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-28,07:01,194.55,194.55,194.55,194.55,110,3
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.","Common stock","EUR",2504953,2017-07-28,07:01,32.49,32.535,32.49,32.525,15566,43
"DE0005557508","DTE","DT.TELEKOM AG NA","Common stock","EUR",2504954,2017-07-28,07:01,15.53,15.545,15.53,15.535,6028,18
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.","Common stock","EUR",2504973,2017-07-28,07:01,72.65,72.84,72.6,72.72,5761,47
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.","Common stock","EUR",2504974,2017-07-28,07:01,80.59,80.62,80.59,80.62,182,4
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2017-07-28,07:01,88.34,88.36,88.34,88.36,415,4
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.","Common stock","EUR",2505003,2017-07-28,07:01,105.5,105.55,105.5,105.55,73,2
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2017-07-28,07:01,119.25,119.35,119.2,119.3,613,10
"DE0006229107","JEN","JENOPTIK AG O.N.","Common stock","EUR",2505023,2017-07-28,07:01,23.455,23.49,23.455,23.49,276,3
"DE0006483001","LIN","LINDE AG O.N.","Common stock","EUR",2505043,2017-07-28,07:01,165.8,165.9,165.7,165.8,805,27
"DE0006599905","MRK","MERCK KGAA O.N.","Common stock","EUR",2505050,2017-07-28,07:01,93.69,93.69,93.69,93.69,261,1
"DE0007037129","RWE","RWE AG ST O.N.","Common stock","EUR",2505072,2017-07-28,07:01,17.705,17.71,17.705,17.71,2397,3
"DE0007100000","DAI","DAIMLER AG NA O.N.","Common stock","EUR",2505076,2017-07-28,07:01,59.55,59.7,59.51,59.64,26683,99
"DE0007165607","SRT","SARTORIUS AG O.N.","Common stock","EUR",2505078,2017-07-28,07:01,80.95,80.95,80.95,80.95,25,1
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.","Common stock","EUR",2505079,2017-07-28,07:01,81.53,81.69,81.53,81.69,342,7
"DE0007236101","SIE","SIEMENS AG NA","Common stock","EUR",2505088,2017-07-28,07:01,115.2,115.35,115.2,115.35,8918,32
"DE0007472060","WDI","WIRECARD AG","Common stock","EUR",2505101,2017-07-28,07:01,64.47,64.6,64.3,64.56,5721,40
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.","Common stock","EUR",2505113,2017-07-28,07:01,135.65,135.65,135,135.45,145,6
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.","Common stock","EUR",2505114,2017-07-28,07:01,132.6,132.6,132.35,132.5,16112,62
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2017-07-28,07:01,18.67,18.755,18.67,18.75,19789,34
"DE0008404005","ALV","ALLIANZ SE NA O.N.","Common stock","EUR",2505133,2017-07-28,07:01,180.65,180.75,180.65,180.75,1271,19
"DE0008430026","MUV2","MUENCH.RUECKVERS.VNA O.N.","Common stock","EUR",2505134,2017-07-28,07:01,180.05,180.15,179.95,180.05,858,17
"GB0059822006","DLG","DIALOG SEMICOND.   LS-,10","Common stock","EUR",2505387,2017-07-28,07:01,36.585,36.605,36.585,36.585,935,4
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-28,07:02,14.77,14.835,14.77,14.79,2400,5
"DE000A0DNAY5","ACX","BET-AT-HOME.COM AG O.N.","Common stock","EUR",2504288,2017-07-28,07:02,104.95,105,104.95,105,27,2
"DE000A0DPRE6","LNSX","SIXT LEASING O.N.","Common stock","EUR",2504289,2017-07-28,07:02,19.965,19.965,19.965,19.965,5,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,07:02,11.85,11.85,11.82,11.825,5173,6
"DE000A0ETBQ4","MBB","MBB SE O.N.","Common stock","EUR",2504301,2017-07-28,07:02,92.14,92.14,92.14,92.14,10,1
"DE000A0HGQS8","P4O","PLAN OPTIK         O.N.","Common stock","EUR",2504309,2017-07-28,07:02,1.91,1.91,1.91,1.91,3999,1
"DE000A0JBPG2","PNE3","PNE WIND AG NA O.N.","Common stock","EUR",2504337,2017-07-28,07:02,2.625,2.625,2.62,2.625,2750,2
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.","Common stock","EUR",2504340,2017-07-28,07:02,50.1,50.1,50.1,50.1,34,1
"DE000A0JL9W6","VBK","VERBIO VER.BIOENERGIE  ON","Common stock","EUR",2504343,2017-07-28,07:02,9.692,9.692,9.692,9.692,9,1
"DE000A0KFKB3","E7S","ACCENTRO R.EST.AG  O.N.","Common stock","EUR",2504349,2017-07-28,07:02,9.062,9.062,9.062,9.062,11,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2017-07-28,07:02,12.32,12.32,12.32,12.32,19,2
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-28,07:02,70,70,70,70,107,1
"DE000A0LR936","ST5","STEICO SE","Common stock","EUR",2504382,2017-07-28,07:02,21.63,21.63,21.605,21.605,19,2
"DE000A0STST2","TTI","TOM TAILOR HLDG  NA O.N.","Common stock","EUR",2504401,2017-07-28,07:02,7.183,7.183,7.18,7.18,2984,11
"DE000A0S8488","HHFA","HAMBURG.HAFEN U.LOG.A-SP","Common stock","EUR",2504409,2017-07-28,07:02,23.35,23.38,23.35,23.38,2550,10
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-28,07:02,7.703,7.703,7.7,7.7,1313,4
"DE000A0XYGA7","TTR1","TECHNOTRANS AG NA O.N.","Common stock","EUR",2504432,2017-07-28,07:02,42.26,42.26,42.26,42.26,5,1
"DE000A0Z1JH9","PSAN","PSI SOFTWARE AG NA O.N.","Common stock","EUR",2504435,2017-07-28,07:02,15.135,15.14,15.135,15.14,13,2
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-28,07:02,14.44,14.45,14.44,14.44,1350,5
"DE000A1EMG56","WIG1","WIGE MEDIA AG","Common stock","EUR",2504468,2017-07-28,07:02,3.415,3.42,3.415,3.415,500,2
"DE000A1EWVY8","FYB","FORMYCON AG","Common stock","EUR",2504470,2017-07-28,07:02,35.4,35.4,35.4,35.4,80,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-28,07:02,190.1,190.1,188.7,189.3,9361,69
"DE000A1JBPV9","SW1","SHW AG","Common stock","EUR",2504476,2017-07-28,07:02,37.095,37.095,37.095,37.095,3,1
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-28,07:02,4.454,4.454,4.445,4.445,2999,4
"DE000A1K0201","GSC1","GESCO AG NA O.N.","Common stock","EUR",2504493,2017-07-28,07:02,25.785,25.85,25.785,25.85,159,6
"DE000A1K0235","SMHN","SUESS MICROTEC AG NA O.N.","Common stock","EUR",2504495,2017-07-28,07:02,12.26,12.26,12.23,12.23,2110,11
"DE000A1K03W5","99SC","STARAMBA SE  O.N.","Common stock","EUR",2504496,2017-07-28,07:02,43.495,43.495,43.495,43.495,170,2
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,07:02,34.835,34.835,34.835,34.835,385,2
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-07-28,07:02,63.8,63.8,63.8,63.8,36,2
"DE000A1TNV91","ADE","BITCOIN GROUP SE  O.N.","Common stock","EUR",2504520,2017-07-28,07:02,10.93,10.93,10.93,10.93,200,1
"DE000A1X3W00","MDG1","MEDIGENE AG NA O.N.","Common stock","EUR",2504531,2017-07-28,07:02,10.35,10.35,10.35,10.35,83,1
"DE000A1YCMM2","SWVK","SOLARWORLD AG   O.N.","Common stock","EUR",2504535,2017-07-28,07:02,1.649,1.671,1.649,1.671,300,2
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-28,07:02,18.415,18.42,18.415,18.42,349,2
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2017-07-28,07:02,32.15,32.15,32.15,32.15,200,1
"DE000A13SX22","HLE","HELLA KGAA HUECK+CO. O.N.","Common stock","EUR",2504580,2017-07-28,07:02,44.945,44.945,44.875,44.915,91,4
"DE000A14KL72","VSC","4SC AG","Common stock","EUR",2504585,2017-07-28,07:02,4.77,4.77,4.62,4.696,6625,16
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-28,07:02,35.605,35.605,35.605,35.605,100,1
"DE000A2DAM03","AAG","AUMANN AG","Common stock","EUR",2504639,2017-07-28,07:02,55,55,54.94,54.94,45,4
"DE000A2DAM11","TINA","BAUMOT GROUP AG  O.N.","Common stock","EUR",2504640,2017-07-28,07:02,1.69,1.69,1.69,1.69,3000,1
"DE000A2DA588","MXHN","MAX AUTOMATION AG NA O.N.","Common stock","EUR",2504644,2017-07-28,07:02,7.5,7.5,7.5,7.5,13,1
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,07:02,79.17,79.21,79.1,79.2,11589,75
